,product_id,color,size,is_active,quantity
17,17,,1.1L(1.2Quarts),True,150
18,17,,2.6L(2.7Quarts),True,150
19,18,OffWhite,"Standard(W16.9xL24.8"")",True,37
20,18,OffWhite,"Queen(W19.7xL27.6"")",True,37
21,18,LightGray,"Standard(W16.9xL24.8"")",True,37
22,18,LightGray,"Queen(W19.7xL27.6"")",True,37
23,18,Beige,"Standard(W16.9xL24.8"")",True,37
24,18,Beige,"Queen(W19.7xL27.6"")",True,37
25,18,Blue,"Standard(W16.9xL24.8"")",True,37
26,18,Blue,"Queen(W19.7xL27.6"")",True,37
27,19,OffWhite,"Single(L39.3xW78.7"")",True,18
28,19,OffWhite,"Double(L55.1xW78.7"")",True,18
29,19,OffWhite,"Queen(L62.9xW78.7"")",True,18
30,19,OffWhite,"King(L70.9xW78.7"")",True,18
31,19,LightGray,"Single(L39.3xW78.7"")",True,18
32,19,LightGray,"Double(L55.1xW78.7"")",True,18
33,19,LightGray,"Queen(L62.9xW78.7"")",True,18
34,19,LightGray,"King(L70.9xW78.7"")",True,18
35,19,Beige,"Single(L39.3xW78.7"")",True,18
36,19,Beige,"Double(L55.1xW78.7"")",True,18
37,19,Beige,"Queen(L62.9xW78.7"")",True,18
38,19,Beige,"King(L70.9xW78.7"")",True,18
39,19,Blue,"Single(L39.3xW78.7"")",True,18
40,19,Blue,"Double(L55.1xW78.7"")",True,18
41,19,Blue,"Queen(L62.9xW78.7"")",True,18
42,19,Blue,"King(L70.9xW78.7"")",True,18
43,20,OffWhite,"SemiDouble(L65.0xW82.7"")",True,25
44,20,OffWhite,"Queen(L80.7xW82.7"")",True,25
45,20,OffWhite,"King(L90.6xW82.7"")",True,25
46,20,LightGray,"SemiDouble(L65.0xW82.7"")",True,25
47,20,LightGray,"Queen(L80.7xW82.7"")",True,25
48,20,LightGray,"King(L90.6xW82.7"")",True,25
49,20,Beige,"SemiDouble(L65.0xW82.7"")",True,25
50,20,Beige,"Queen(L80.7xW82.7"")",True,25
51,20,Beige,"King(L90.6xW82.7"")",True,25
52,20,Blue,"SemiDouble(L65.0xW82.7"")",True,25
53,20,Blue,"Queen(L80.7xW82.7"")",True,25
54,20,Blue,"King(L90.6xW82.7"")",True,25
55,21,LightGray,"Standard(W16.9xL24.8"")",True,33
56,21,LightGray,"Queen(W19.7xL27.6"")",True,33
57,21,Beige,"Standard(W16.9xL24.8"")",True,33
58,21,Beige,"Queen(W19.7xL27.6"")",True,33
59,21,Blue,"Standard(W16.9xL24.8"")",True,33
60,21,Blue,"Queen(W19.7xL27.6"")",True,33
61,22,LightGray,"SemiDouble-Double(W43.3xL66.9xD15"")",True,50
62,22,LightGray,"Queen-King(W53.1xL66.9xD15"")",True,50
63,22,Beige,"SemiDouble-Double(W43.3xL66.9xD15"")",True,50
64,22,Beige,"Queen-King(W53.1xL66.9xD15"")",True,50
65,22,Blue,"SemiDouble-Double(W43.3xL66.9xD15"")",True,50
66,22,Blue,"Queen-King(W53.1xL66.9xD15"")",True,50
67,23,OffWhite,"Standard(W16.9xL24.8"")",True,25
68,23,OffWhite,"Queen(W19.7xL27.6"")",True,25
69,23,Gray,"Standard(W16.9xL24.8"")",True,25
70,23,Gray,"Queen(W19.7xL27.6"")",True,25
71,23,DarkGray,"Standard(W16.9xL24.8"")",True,25
72,23,DarkGray,"Queen(W19.7xL27.6"")",True,25
73,23,LightBeige,"Standard(W16.9xL24.8"")",True,25
74,23,LightBeige,"Queen(W19.7xL27.6"")",True,25
75,24,Gray,"Single(L39.3xW78.7"")",True,18
76,24,Gray,"Double(L55.1xW78.7"")",True,18
77,24,Gray,"Queen(L62.9xW78.7"")",True,18
78,24,Gray,"King(L70.9xW78.7"")",True,18
79,24,OffWhite,"Single(L39.3xW78.7"")",True,18
80,24,OffWhite,"Double(L55.1xW78.7"")",True,18
81,24,OffWhite,"Queen(L62.9xW78.7"")",True,18
82,24,OffWhite,"King(L70.9xW78.7"")",True,18
83,24,DarkGray,"Single(L39.3xW78.7"")",True,18
84,24,DarkGray,"Double(L55.1xW78.7"")",True,18
85,24,DarkGray,"Queen(L62.9xW78.7"")",True,18
86,24,DarkGray,"King(L70.9xW78.7"")",True,18
87,24,LightBeige,"Single(L39.3xW78.7"")",True,18
88,24,LightBeige,"Double(L55.1xW78.7"")",True,18
89,24,LightBeige,"Queen(L62.9xW78.7"")",True,18
90,24,LightBeige,"King(L70.9xW78.7"")",True,18
91,25,Gray,"Single(L37.4xW72.8"")",True,18
92,25,Gray,"Double(L53.1xW72.8"")",True,18
93,25,Gray,"Queen(L61.0xW72.8"")",True,18
94,25,Gray,"King(L68.9xW72.8"")",True,18
95,25,LightBrown,"Single(L37.4xW72.8"")",True,18
96,25,LightBrown,"Double(L53.1xW72.8"")",True,18
97,25,LightBrown,"Queen(L61.0xW72.8"")",True,18
98,25,LightBrown,"King(L68.9xW72.8"")",True,18
99,25,Navy,"Single(L37.4xW72.8"")",True,18
100,25,Navy,"Double(L53.1xW72.8"")",True,18
101,25,Navy,"Queen(L61.0xW72.8"")",True,18
102,25,Navy,"King(L68.9xW72.8"")",True,18
103,25,LightBeige,"Single(L37.4xW72.8"")",True,18
104,25,LightBeige,"Double(L53.1xW72.8"")",True,18
105,25,LightBeige,"Queen(L61.0xW72.8"")",True,18
106,25,LightBeige,"King(L68.9xW72.8"")",True,18
107,26,Gray,"SemiDouble(L65xW80.7"")",True,25
108,26,Gray,"Queen(L80.7xW80.7"")",True,25
109,26,Gray,"King(L88.6xW80.7"")",True,25
110,26,LightBrown,"SemiDouble(L65xW80.7"")",True,25
111,26,LightBrown,"Queen(L80.7xW80.7"")",True,25
112,26,LightBrown,"King(L88.6xW80.7"")",True,25
113,26,Navy,"SemiDouble(L65xW80.7"")",True,25
114,26,Navy,"Queen(L80.7xW80.7"")",True,25
115,26,Navy,"King(L88.6xW80.7"")",True,25
116,26,LightBeige,"SemiDouble(L65xW80.7"")",True,25
117,26,LightBeige,"Queen(L80.7xW80.7"")",True,25
118,26,LightBeige,"King(L88.6xW80.7"")",True,25
119,27,LightGray,"Single(L39.3xW78.7"")",True,18
120,27,LightGray,"Double(L55.1xW78.7"")",True,18
121,27,LightGray,"Queen(L62.9xW78.7"")",True,18
