id,user_id,product_id,date,quantity,total_price
0,1,823,2023-04-27,4,3.6
1,1,316,2023-01-01,5,54.5
2,1,31,2023-11-24,3,11.7
3,2,837,2023-12-23,1,1.9
4,2,1207,2023-02-24,1,39.99
5,2,861,2023-07-22,1,1.9
6,2,204,2023-03-11,5,249.5
7,3,311,2023-04-01,4,47.6
8,3,1087,2023-04-16,1,8.9
9,3,1199,2023-02-12,1,35.9
10,3,421,2023-06-05,4,59.6
11,4,375,2023-05-13,1,19.9
12,4,796,2023-08-13,5,249.5
13,4,202,2023-12-18,4,159.6
14,4,1494,2023-05-16,5,150.0
15,4,136,2023-09-09,1,34.9
16,5,1273,2023-06-15,1,14.9
17,5,1549,2023-07-27,5,3000.0
18,5,1285,2023-11-28,3,3.0
19,5,1409,2023-09-01,1,19.9
20,5,455,2023-09-05,1,3.9
21,5,486,2023-09-08,4,7.6
22,5,831,2023-07-10,4,15.6
23,6,1431,2023-07-17,1,249.9
24,6,572,2023-11-11,4,159.6
25,7,743,2023-05-26,5,19.5
26,7,665,2023-06-12,3,5.7
27,7,314,2023-10-09,5,59.5
28,7,1337,2023-04-04,4,19.6
29,7,326,2023-09-01,4,11.6
30,7,15,2023-04-10,1,39.9
31,7,580,2023-04-08,2,99.8
32,7,1183,2023-06-22,2,9.8
33,7,1523,2023-09-19,4,15.6
34,7,1256,2023-04-23,4,99.6
35,7,401,2023-12-26,4,79.6
36,7,1424,2023-04-14,5,14.5
37,7,1007,2023-02-19,4,199.6
38,7,835,2023-01-13,2,3.8
39,8,731,2023-01-21,4,7.6
40,8,1164,2023-01-28,1,7.9
41,8,1435,2023-02-22,3,2.7
42,8,1147,2023-02-19,1,17.9
43,8,1512,2023-10-02,2,5.8
44,8,345,2023-04-26,2,15.8
45,8,1499,2023-02-06,2,50.0
46,10,387,2023-08-25,3,179.7
47,10,1179,2023-03-07,5,49.5
48,10,548,2023-12-16,2,139.8
49,10,985,2023-07-02,3,74.97
50,10,655,2023-05-11,1,6.9
51,10,1289,2023-01-16,2,29.8
52,10,48,2023-01-13,1,2.9
53,10,1436,2023-08-26,3,29.7
54,11,272,2023-05-07,4,64.0
55,11,1247,2023-10-05,3,29.7
